pol,orbit,mode,k,n_cities,mean_abs_bias,instability
vv_db_mean,ASCENDING,random,1,549,0.7217655724201475,0.9069807691441856
vv_db_mean,ASCENDING,random,2,549,0.5107700727656955,0.6359983626476836
vv_db_mean,ASCENDING,random,3,549,0.4107111862709042,0.5089071676087442
vv_db_mean,ASCENDING,random,4,549,0.35120802061556605,0.4364485573342361
vv_db_mean,ASCENDING,random,6,549,0.27851205104485677,0.345419820832125
vv_db_mean,ASCENDING,random,8,549,0.23457216239226109,0.29061137311823637
vv_db_mean,ASCENDING,random,12,549,0.17816953824311618,0.22091692935236323
vv_db_mean,ASCENDING,random,16,549,0.14433401621923966,0.17863446391033755
vv_db_mean,ASCENDING,contiguous,1,549,0.720260633790792,0.9024631739351486
vv_db_mean,ASCENDING,contiguous,2,549,0.5903595424660039,0.7327375047171233
vv_db_mean,ASCENDING,contiguous,3,549,0.5570031237387918,0.6857625770368977
vv_db_mean,ASCENDING,contiguous,4,549,0.5156489385877301,0.6324128429479917
vv_db_mean,ASCENDING,contiguous,6,549,0.4687318962890826,0.5695109099201315
vv_db_mean,ASCENDING,contiguous,8,549,0.42742572225798603,0.5108494313564597
vv_db_mean,ASCENDING,contiguous,12,549,0.34824996348302106,0.4049285855180972
vv_db_mean,ASCENDING,contiguous,16,549,0.2787495676966564,0.30967931695316575
vv_db_mean,DESCENDING,random,1,561,0.7888980510345742,0.9834156470062818
vv_db_mean,DESCENDING,random,2,561,0.5570089248523665,0.6914023576144647
vv_db_mean,DESCENDING,random,3,561,0.4455537294413486,0.5520707678640449
vv_db_mean,DESCENDING,random,4,561,0.3810016384044363,0.4718975589046922
vv_db_mean,DESCENDING,random,6,561,0.3041651900520268,0.376082547645291
vv_db_mean,DESCENDING,random,8,561,0.2549311152059457,0.3157685745021716
vv_db_mean,DESCENDING,random,12,561,0.1950094491829259,0.2420030781583739
vv_db_mean,DESCENDING,random,16,561,0.15647101056536708,0.1939037672678913
vv_db_mean,DESCENDING,contiguous,1,561,0.7870705988453933,0.985726635092154
vv_db_mean,DESCENDING,contiguous,2,561,0.6571922318420701,0.8165494609927388
vv_db_mean,DESCENDING,contiguous,3,561,0.6106699681633696,0.7536428404305582
vv_db_mean,DESCENDING,contiguous,4,561,0.5783306170326443,0.7105108967439072
vv_db_mean,DESCENDING,contiguous,6,561,0.5278568425942117,0.6421802999376798
vv_db_mean,DESCENDING,contiguous,8,561,0.48002092377907996,0.5795155185114564
vv_db_mean,DESCENDING,contiguous,12,561,0.39238219922618867,0.45715414750636985
vv_db_mean,DESCENDING,contiguous,16,561,0.30772163340098707,0.3479589191765626
vh_db_mean,ASCENDING,random,1,549,0.7344894021511587,0.9105931933136986
vh_db_mean,ASCENDING,random,2,549,0.5090666831597459,0.6316724164525306
vh_db_mean,ASCENDING,random,3,549,0.4102970919732358,0.5087160443802891
vh_db_mean,ASCENDING,random,4,549,0.3512169294557919,0.43600967723529077
vh_db_mean,ASCENDING,random,6,549,0.2797762846558964,0.3469076621418927
vh_db_mean,ASCENDING,random,8,549,0.23524691505346512,0.29182419717473795
vh_db_mean,ASCENDING,random,12,549,0.18038904171157794,0.2234767175849296
vh_db_mean,ASCENDING,random,16,549,0.14567154640761087,0.18019245273005843
vh_db_mean,ASCENDING,contiguous,1,549,0.7204813380965829,0.9011170474982292
vh_db_mean,ASCENDING,contiguous,2,549,0.6367619927599182,0.7887432491933849
vh_db_mean,ASCENDING,contiguous,3,549,0.6043440141891434,0.7418677690925195
vh_db_mean,ASCENDING,contiguous,4,549,0.5723565634202269,0.7016618465593933
vh_db_mean,ASCENDING,contiguous,6,549,0.5210562732086181,0.633898020192526
vh_db_mean,ASCENDING,contiguous,8,549,0.48574941032366054,0.5814920163216263
vh_db_mean,ASCENDING,contiguous,12,549,0.39533715674717096,0.46291279455881124
vh_db_mean,ASCENDING,contiguous,16,549,0.30727440831905584,0.34821885640599226
vh_db_mean,DESCENDING,random,1,561,0.8206666655908141,1.015385353828121
vh_db_mean,DESCENDING,random,2,561,0.5797104413660757,0.7153569449870388
vh_db_mean,DESCENDING,random,3,561,0.4690406636408966,0.5777082673911442
vh_db_mean,DESCENDING,random,4,561,0.3955567090994048,0.4897093504448879
vh_db_mean,DESCENDING,random,6,561,0.31636340923794914,0.3922216794347819
vh_db_mean,DESCENDING,random,8,561,0.26290630642468626,0.3252215375773187
vh_db_mean,DESCENDING,random,12,561,0.20209606798476723,0.2500987466705462
vh_db_mean,DESCENDING,random,16,561,0.16245967621247975,0.20123907501175653
vh_db_mean,DESCENDING,contiguous,1,561,0.8244795103904772,1.0202362682078063
vh_db_mean,DESCENDING,contiguous,2,561,0.71522007018778,0.880819684015109
vh_db_mean,DESCENDING,contiguous,3,561,0.6791070779590811,0.8328527842118238
vh_db_mean,DESCENDING,contiguous,4,561,0.6446489830462515,0.790617865010792
vh_db_mean,DESCENDING,contiguous,6,561,0.5927272822582562,0.7199564669739199
vh_db_mean,DESCENDING,contiguous,8,561,0.5345477110721213,0.6445446222024809
vh_db_mean,DESCENDING,contiguous,12,561,0.43782971818791894,0.5135019851653545
vh_db_mean,DESCENDING,contiguous,16,561,0.34229134103397635,0.39090648109727316
